Segment,MAPE_Global,MAPE_Segmente,Gain_MAPE,MAE_Global,MAE_Segmente,RMSE_Global,RMSE_Segmente,R2_Global,R2_Segmente
Stable,18.088003956931505,20.49701777595255,-2.4090138190210446,5885.529602050781,6063.394281914893,9222.839313874556,8979.01336310397,0.9261807203292847,0.9300322532653809
Modere,23.104102485755,29.503675151733415,-6.399572665978415,4276.228342013889,5338.904934106692,6134.911125485949,7643.237395336098,0.7894657850265503,0.6732159852981567
Erratique,27.2820566967296,39.1712694291782,-11.889212732448602,3128.1223950071385,4382.603661861516,4482.224040797728,6124.679021553231,0.8564145565032959,0.7319042086601257
