Code Station,N° article,mean,std,CV,Segment
ST0001,A0001,90814.81481481482,23043.499061619284,0.2537416291450737,Stable
ST0001,A0002,48384.61538461538,24496.655972727254,0.5062901870356984,Modere
ST0002,A0001,219000.0,70694.5492824278,0.3228061611069763,Modere
ST0002,A0002,154527.27272727274,174682.55383064048,1.1304318697123457,Erratique
ST0003,A0001,33589.28571428572,19220.043312517922,0.5722075627331226,Erratique
ST0003,A0002,24096.153846153848,13080.834079337656,0.5428598340986098,Modere
ST0004,A0001,36214.28571428572,12807.281328465268,0.3536527388530843,Modere
ST0004,A0002,14296.296296296296,5895.33593232699,0.4123680574425615,Modere
ST0005,A0001,5000.0,0.0,0.0,Stable
ST0005,A0002,15272.727272727272,8575.612254592994,0.5614984214316842,Modere
ST0006,A0001,23375.0,5785.425986576431,0.2475048550407029,Stable
ST0006,A0002,6937.5,4500.448006372756,0.6487132261438207,Erratique
ST0007,A0001,9443.414634146342,3733.668176040888,0.39537268251892244,Modere
ST0007,A0002,28252.962962962964,20714.03686225062,0.7331633460676255,Erratique
ST0008,A0002,7714.285714285715,3638.419332360584,0.4716469504911868,Modere
ST0009,A0001,25411.764705882353,12699.600678663262,0.49975280448443393,Modere
ST0009,A0002,15586.206896551725,5895.017517115076,0.37822015043437435,Modere
ST0010,A0001,67466.66666666667,18885.44113876214,0.27992254652315424,Stable
ST0010,A0002,22483.333333333332,13779.734157316956,0.6128866193024591,Erratique
ST0011,A0001,82850.0,30923.538837547163,0.3732473003928444,Modere
ST0011,A0002,17949.15254237288,8245.006281366796,0.4593535133150528,Modere
ST0012,A0001,60766.666666666664,26165.941549562867,0.43059695364063966,Modere
ST0012,A0002,53533.333333333336,28623.486070048497,0.5346852939610554,Modere
ST0013,A0001,22533.333333333332,10446.234226926445,0.4635902763428896,Modere
ST0013,A0002,20142.85714285714,10861.768823631905,0.5392367501093853,Modere
ST0014,A0001,12113.207547169812,5497.063472571552,0.45380742063285395,Modere
ST0014,A0002,19096.153846153848,8416.27651680004,0.4407314993691864,Modere
ST0015,A0001,20913.043478260868,6921.068253582751,0.330945051626618,Modere
ST0015,A0002,12736.842105263158,3841.9049855675316,0.3016371682883599,Stable
ST0016,A0001,52250.0,17473.102816440423,0.3344134510323526,Modere
ST0016,A0002,51283.333333333336,23021.796353556616,0.4489138060492028,Modere
ST0017,A0001,7173.913043478261,1922.407910385578,0.26797201175071694,Stable
ST0017,A0002,41900.0,16628.496521084642,0.39686149214999145,Modere
ST0018,A0001,20037.037037037036,10981.911307275546,0.5480806012873193,Modere
ST0018,A0002,20153.846153846152,17693.89461044886,0.8779413356329588,Erratique
ST0019,A0001,7352.941176470588,2572.4787771376323,0.349857113690718,Modere
ST0019,A0002,6666.666666666667,2439.7501823713333,0.36596252735569995,Modere
ST0020,A0001,27884.615384615383,10534.996622977804,0.37780677544472124,Modere
ST0020,A0002,19875.0,8268.917704270616,0.41604617379977943,Modere
ST0021,A0001,32904.76190476191,9342.9372357132,0.2839387582488816,Stable
ST0021,A0002,10625.0,4425.306015783918,0.41649938972083933,Modere
ST0022,A0001,37631.57894736842,16107.486700896228,0.42803111512871095,Modere
ST0022,A0002,31923.076923076922,18781.34885615812,0.5883314099519412,Erratique
ST0023,A0001,41396.55172413793,22286.759231067965,0.5383723596009754,Modere
ST0023,A0002,44724.137931034486,26343.07599261277,0.5890124932812415,Erratique
ST0024,A0001,16109.0,8093.511520911701,0.5024217220753431,Modere
ST0024,A0002,73158.33333333333,35584.167549993195,0.48639937418831114,Modere
ST0025,A0001,24333.333333333332,8144.527815247078,0.3347066225444005,Modere
ST0025,A0002,22333.333333333332,7637.6261582597335,0.34198326081760005,Modere
