Code Station,N° article,CV,Segment
ST0079,A0001,0.8794928227520286,Erratique
ST0079,A0002,0.9073387672421173,Erratique
ST0080,A0001,0.40740339227371697,Modere
ST0080,A0002,0.45948056074955074,Modere
ST0081,A0001,0.3148162904714641,Stable
ST0081,A0002,0.5244353448569541,Modere
ST0083,A0001,0.603151549943311,Modere
ST0083,A0002,0.67275108737098,Erratique
ST0084,A0001,0.16994771969643233,Stable
ST0084,A0002,0.21529599928003126,Stable
ST0085,A0001,0.631972751344491,Modere
ST0085,A0002,0.38709160461751974,Stable
ST0087,A0001,0.6023866506307719,Modere
ST0087,A0002,0.5716217754817169,Modere
ST0091,A0001,1.1312131846299989,Erratique
ST0091,A0002,0.43581540236098243,Modere
ST0092,A0001,0.3183317324111331,Stable
ST0092,A0002,0.755991760172053,Erratique
ST0093,A0001,0.6334629276548651,Modere
ST0093,A0002,0.6424643952026381,Modere
ST0094,A0002,0.4713615936388423,Modere
