Segment,MAPE_Global,MAPE_Segmente,Gain_MAPE,MAE_Global,MAE_Segmente,RMSE_Global,RMSE_Segmente,R2_Global,R2_Segmente
Stable,23.00966696873078,20.49701777595255,2.5126491927782304,6521.629690616689,6063.394281914893,9540.357162518916,8979.01336310397,0.9210103750228882,0.9300322532653809
Modere,27.771890092109093,29.503675151733415,-1.7317850596243218,4789.444766019571,5338.904934106692,6682.927603267954,7643.237395336098,0.7501727938652039,0.6732159852981567
Erratique,35.784819778572654,39.1712694291782,-3.386449650605549,3798.320310021415,4382.603661861516,5378.048302851528,6124.679021553231,0.7932846546173096,0.7319042086601257
