Segment,Nb_couples,MAE,RMSE,MAPE,R2
Stable,36,11425.52975404052,13457.353276522674,32.9830404384253,-2.9449018396990505
Modere,48,11051.033919519563,12681.992284131251,70.02073102107911,-3.62463411757237
Erratique,22,11826.484033888619,12959.497914443338,134.66161136645033,-9.052814542364814
