Modèle,MAE,RMSE,MAPE,R²
LSTM Essence,7556.447695381724,11348.885088147543,34.78313292239686,0.8864927716373839
LSTM Global,7972.589597851246,13471.250806613038,41.91220076098527,0.7524723971120546
LSTM Gasoil,7834.085645657134,12387.137548513803,43.868137822107464,0.5309488069292198
